UniRef90_A0A0P1BFG9	Root; phy
EXP;OUO83512.1	Root; phy
UniRef90_UPI00146E3A54	Root; phy
UniRef90_A0A1A2XKK7	Root; phy
UniRef90_M0QFR6	Root; phy
UniRef90_UPI000466E222	Root; phy
UniRef90_A0A7G5J9R4	Root; phy
UniRef90_UPI0013D49262	Root; phy
UniRef90_A0A7C3T4C9	Root; phy
UniRef90_UPI0015927D26	Root; phy
UniRef90_A0A6N7T7L6	Root; phy
UniRef90_UPI0018EF2F27	Root; phy
UniRef90_A0A382CIN7	Root; phy
UniRef90_A0A4Y9ET38	Root; phy
UniRef90_A0A7X8UC49	Root; phy
UniRef90_F7V872	Root; phy
UniRef90_UPI0013732CDE	Root; phy
UniRef90_UPI00158CE0BE	Root; phy
UniRef90_A0A7U0RS69	Root; phy
UniRef90_A0A3A4PSN6	Root; phy
UniRef90_UPI000424BDD3	Root; phy
UniRef90_A0A1G8TD42	Root; phy
UniRef90_A0A178LQP5	Root; phy
UniRef90_A0A6N7XZH7	Root; phy
UniRef90_A0A1S9CFW3	Root; phy
UniRef90_A0A164SKG4	Root; phy
UniRef90_A0A1S8TNH6	Root; phy
UniRef90_UPI0009C60FB3	Root; phy
UniRef90_A0A426D3N5	Root; phy
UniRef90_A0A124EVD8	Root; phy
UniRef90_A0A257J691	Root; phy
UniRef90_A0A1Q5TII4	Root; phy
UniRef90_A0A7C7YAN8	Root; phy
UniRef90_A0A7W8HA28	Root; phy
UniRef90_U6ZWT8	Root; phy
UniRef90_A0A515FVH0	Root; phy
UniRef90_UPI00164C8C68	Root; phy
UniRef90_A0A1X2AHF2	Root; phy
UniRef90_A0A0N1NDL0	Root; phy
UniRef90_A0A1A3QVL1	Root; phy
UniRef90_A0A3B8ERZ6	Root; phy
UniRef90_G8RIY5	Root; phy
UniRef90_A0A7C3KLG2	Root; phy
UniRef90_A0A1M7YRH1	Root; phy
UniRef90_A0A0G3IDW3	Root; phy
UniRef90_A0A317VMP2	Root; phy
UniRef90_A0A318H5L4	Root; phy
UniRef90_UPI0002474A19	Root; phy
UniRef90_UPI001300AC7C	Root; phy
UniRef90_A0A318R8S9	Root; phy
UniRef90_A0A7K0DP09	Root; phy
UniRef90_UPI00136B59E7	Root; phy
UniRef90_A0A317E5P2	Root; phy
UniRef90_UPI0006950BD9	Root; phy
UniRef90_A0A484FNA4	Root; phy
UniRef90_A0A7I7N2Q9	Root; phy
UniRef90_A0A5Q4BAM5	Root; phy
UniRef90_UPI0005CED13C	Root; phy
UniRef90_UPI0002473F0B	Root; phy
UniRef90_A0A1M6EK40	Root; phy
UniRef90_UPI0010FA3789	Root; phy
UniRef90_UPI0002475391	Root; phy
UniRef90_UPI0010C0CDD9	Root; phy
UniRef90_A0A4R1QMS0	Root; phy
UniRef90_A0A1X1W7E1	Root; phy
UniRef90_J1SC70	Root; phy
UniRef90_A0A7K0LMR3	Root; phy
UniRef90_A0A7X8UJ52	Root; phy
UniRef90_A0A1C6FN12	Root; phy
UniRef90_B8KKX0	Root; phy
UniRef90_A0A1Q4UHF0	Root; phy
UniRef90_UPI0017AEBAEE	Root; phy
UniRef90_A0A553A7W5	Root; phy
UniRef90_UPI001876862D	Root; phy
UniRef90_UPI0012F4A0B4	Root; phy
UniRef90_H0SPF1	Root; phy
